Date,Open,High,Low,Close,Adj Close,Volume
2009-10-09,10.532900,10.532900,10.263600,10.263600,7.508113,604732
2009-10-12,10.465500,10.465500,10.297300,10.431900,7.631230,638906
2009-10-13,10.095400,10.431900,10.095400,10.364600,7.581997,876639
2009-10-14,10.297300,10.835700,10.297300,10.701100,7.828157,2791871
2009-10-15,10.903000,10.903000,10.431900,10.431900,7.631230,1095055
2009-10-16,10.431900,10.633800,10.431900,10.600200,7.754346,794918
2009-10-19,10.600200,10.734700,10.465500,10.600200,7.754346,1047509
2009-10-20,10.667400,11.071300,10.600200,10.600200,7.754346,2937482
2009-10-21,10.667400,10.802100,10.431900,10.566500,7.729693,1118829
2009-10-22,10.600200,10.734700,10.297300,10.330900,7.557344,1054938
2009-10-23,10.499200,10.499200,10.364600,10.398200,7.606576,592845
2009-10-26,10.600200,10.768400,10.532900,10.600200,7.754346,1050481
2009-10-27,10.566500,10.566500,10.364600,10.398200,7.606576,575015
2009-10-28,10.364600,10.566500,10.297300,10.297300,7.532765,512611
2009-10-29,10.263600,10.263600,9.624260,9.826170,7.188121,1181233
2009-10-30,10.028100,10.028100,9.826170,9.859820,7.212737,481408
2009-11-02,9.758870,9.826170,9.657910,9.826170,7.188121,279336
2009-11-03,9.826170,9.994430,9.826170,9.893470,7.237353,355113
2009-11-04,10.028100,10.364600,9.893470,10.095400,7.385069,928643
2009-11-05,10.297300,10.297300,9.994430,9.994430,7.311208,459121
2009-11-06,10.095400,10.095400,9.960780,9.960780,7.286592,372943
2009-11-09,9.994430,10.061700,9.960780,9.994430,7.311208,120352
2009-11-10,10.061700,10.061700,10.028100,10.061700,7.360419,282307
2009-11-11,10.095400,10.196300,10.028100,10.129000,7.409649,237733
2009-11-12,10.162700,10.297300,10.028100,10.129000,7.409649,2337208
2009-11-13,10.162700,10.162700,10.061700,10.061700,7.360419,402659
2009-11-16,10.061700,10.162700,10.061700,10.061700,7.360419,312024
2009-11-17,10.162700,10.162700,9.960780,9.994430,7.311208,427919
2009-11-18,9.994430,10.230000,9.994430,10.196300,7.458880,719141
2009-11-19,10.230000,10.230000,10.061700,10.061700,7.360419,555700
2009-11-20,10.129000,10.196300,9.960780,10.162700,7.434302,372943
2009-11-23,10.129000,10.162700,9.994430,10.129000,7.409649,331340
2009-11-24,10.129000,10.835700,10.129000,10.835700,7.926621,5961143
2009-11-25,11.037600,11.576000,10.936700,11.576000,8.468172,13255073
2009-11-26,11.811600,11.811600,11.340500,11.475100,8.394361,6298426
2009-11-27,11.239500,11.374100,10.802100,10.802100,7.902041,2429329
2009-11-30,11.172200,11.542400,11.037600,11.542400,8.443592,1754763
2009-12-01,12.181800,12.350000,11.979800,12.350000,9.034373,7819914
2009-12-02,12.451000,12.484600,11.845300,11.912500,8.714332,5151366
2009-12-03,12.047100,12.720200,11.912500,12.249100,8.960563,5439617
2009-12-04,12.383700,12.383700,11.845300,11.912500,8.714332,2491734
2009-12-07,11.912500,12.181800,11.441400,11.677000,8.542056,4130602
2009-12-08,11.677000,11.979800,11.441400,11.441400,8.369707,2988000
2009-12-09,11.475100,11.979800,11.475100,11.508700,8.418939,3496154
2009-12-10,11.744300,11.744300,11.004000,11.004000,8.049736,3298539
2009-12-11,11.037600,11.340500,11.037600,11.205900,8.197432,2858733
2009-12-14,11.340500,11.407800,11.138600,11.273200,8.246664,1598751
2009-12-15,11.340500,11.407800,11.071300,11.239500,8.222012,2430815
2009-12-16,11.239500,11.946200,11.239500,11.508700,8.418939,4564464
2009-12-17,11.710600,11.777900,11.172200,11.172200,8.172779,1924147
2009-12-18,11.172200,11.306800,11.138600,11.306800,8.271244,1638868
2009-12-21,11.374100,11.609700,11.239500,11.407800,8.345127,1289699
2009-12-22,11.542400,11.542400,11.340500,11.340500,8.295897,881096
2009-12-23,11.374100,11.441400,11.306800,11.340500,8.295897,787489
2009-12-24,11.374100,12.114500,11.306800,12.114500,8.862098,4932949
2009-12-25,12.955700,12.955700,12.955700,12.955700,9.477462,3763603
2009-12-28,13.830700,13.830700,13.830700,13.830700,10.117548,3869097
2009-12-29,14.772900,14.772900,14.167200,14.772900,10.806794,12252139
2009-12-30,14.806600,15.782400,14.806600,15.782400,11.545272,9519701
2009-12-31,16.051600,16.489100,15.546900,15.849700,11.594503,7669845
2010-01-04,15.614200,15.748800,14.873900,14.941200,10.929908,5687750
2010-01-05,15.176700,15.210400,14.133500,14.470000,10.585214,4854201
2010-01-06,14.537300,15.479600,14.470000,15.479600,11.323764,3282194
2010-01-07,15.782400,15.950700,14.806600,14.806600,10.831446,5429216
2010-01-08,15.143100,15.816100,15.143100,15.816100,11.569924,9799037
2010-01-11,16.421801,16.892900,16.152599,16.892900,12.357633,3831951
2010-01-12,17.296700,17.835199,16.320900,17.128500,12.529982,10849517
